Handle,Title,Body HTML,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
konch,Konch,"<h2>Morganics Konch</h2><p>Morganics Konch is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,KON-100,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_09-konch.jpg,Konch - کونچ | Morganics,Buy Konch Online in Pakistan | Morganics,"Shop Morganics Konch for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage guidance",active
sarson-black,Sarson Black,"<h2>Morganics Sarson Black</h2><p>Morganics Sarson Black is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is small-format pantry convenience, topping use and modern wellness routines, with Pakistan-focused usage around breakfast bowls, soaked drinks, salads, baking and clean snack portions.</p><h3>Best Use Cases</h3><ul><li>Breakfast bowls</li><li>Soaked drinks</li><li>Salads</li><li>Baking</li><li>Clean snack portions</li></ul><h3>Why Customers Choose It</h3><ul><li>Small-format pantry convenience</li><li>Topping use</li><li>Modern wellness routine</li></ul><h3>How to Use</h3><p>Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use moderate portions and drink enough water when using fiber-rich seeds. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Seeds,"Morganics, Seeds, Black Mustard, Sarson Black, کالی سرسوں",TRUE,Size,100g,SAR-BLK-250,649,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_10-sarson-black.jpg,Sarson Black - کالی سرسوں | Morganics,Buy Sarson Black Online in Pakistan | Morganics,"Shop Morganics Sarson Black for breakfast bowls, soaked drinks, salads, baking and clean snack portions. Freshness-led packing, practical usage guidance an",active
sarson-black,,,,,,,,Size,200g,SAR-BLK-250-200G,1298,shopify,0,deny,manual,TRUE,FALSE,,,,,
sarson-black,,,,,,,,Size,500g,SAR-BLK-250-500G,3245,shopify,0,deny,manual,TRUE,FALSE,,,,,
luban,Luban,"<h2>Morganics Luban</h2><p>Morganics Luban is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is cooling-drink relevance, texture utility and specialty ingredient value, with Pakistan-focused usage around summer drinks, desserts, texture-led recipes and traditional pantry use.</p><h3>Best Use Cases</h3><ul><li>Summer drinks</li><li>Desserts</li><li>Texture-led recipes</li><li>Traditional pantry use</li></ul><h3>Why Customers Choose It</h3><ul><li>Cooling-drink relevance</li><li>Texture utility</li><li>Specialty ingredient value</li></ul><h3>How to Use</h3><p>Soak or prepare according to product type, then use in drinks, desserts or traditional recipes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Prepare specialty gums correctly and start with small amounts. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Gums & Specialties,"Morganics, Gums & Specialties",TRUE,Size,Premium Pack,LUB-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_11-luban.jpg,Luban | Morganics,Buy Luban Online in Pakistan | Morganics,"Shop Morganics Luban for summer drinks, desserts, texture-led recipes and traditional pantry use. Freshness-led packing, practical usage guidance and safe",active
musabbar,Musabbar,"<h2>Morganics Musabbar</h2><p>Morganics Musabbar is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,MUS-50,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_12-musabbar.jpg,Musabbar - مصبر | Morganics,Buy Musabbar Online in Pakistan | Morganics,"Shop Morganics Musabbar for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage guidan",active
munaqqa,Munaqqa,"<h2>Morganics Munaqqa</h2><p>Morganics Munaqqa is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is natural sweetness, familiar Pakistani dry-fruit routines and easy serving, with Pakistan-focused usage around tea-time, Ramadan tables, lunch boxes, breakfast bowls and gift trays.</p><h3>Best Use Cases</h3><ul><li>Tea-time serving</li><li>Ramadan tables</li><li>Lunch boxes</li><li>Breakfast bowls</li><li>Gift trays</li></ul><h3>Why Customers Choose It</h3><ul><li>Natural sweetness</li><li>Familiar Pakistani dry-fruit routine</li><li>Easy serving</li></ul><h3>How to Use</h3><p>Eat as a snack, pair with nuts, add to breakfast, serve at tea-time, or use in desserts and gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use sensible portions, especially if managing sugar intake or specific dietary advice. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Dried Fruits",Dry Fruits,"Morganics, Dry Fruits, Munaqqa, Munakka, Black Munaqqa, Raisin mewa, منقہ",TRUE,Size,200g,MUN-250,1199,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_13-munakka-black.jpg,Munaqqa - منقہ | Morganics,Buy Munaqqa Online in Pakistan | Morganics,"Shop Morganics Munaqqa for tea-time, Ramadan tables, lunch boxes, breakfast bowls and gift trays. Freshness-led packing, practical usage guidance and safe",active
munaqqa,,,,,,,,Size,500g,MUN-250-500G,2998,shopify,0,deny,manual,TRUE,FALSE,,,,,
badam-abdul-wahidi,Badam Abdul Wahidi,"<h2>Morganics Badam Abdul Wahidi</h2><p>Morganics Badam Abdul Wahidi is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Snack directly, add to desserts, breakfast bowls, trail mixes, kheer, halwa or gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Badam Abdul Wahidi, بادام عبد الوحیدی",TRUE,Size,500g,BAD-SAB-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_14-almond-with-shell.jpg,Badam Abdul Wahidi - بادام عبد الوحیدی | Morganics,Buy Badam Abdul Wahidi Online in Pakistan | Morganics,"Shop Morganics Badam Abdul Wahidi for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usa",active
badam-abdul-wahidi,,,,,,,,Size,1kg,BAD-SAB-250-1KG,2598,shopify,0,deny,manual,TRUE,FALSE,,,,,
sogi-big-kishmish-mewa,Sogi Big Kishmish Mewa,"<h2>Morganics Sogi Big Kishmish Mewa</h2><p>Morganics Sogi Big Kishmish Mewa is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is easy serving, everyday convenience and pantry restocking, with Pakistan-focused usage around breakfast, office snacking, lunch bowls and family pantry use.</p><h3>Best Use Cases</h3><ul><li>Breakfast</li><li>Office snacking</li><li>Lunch bowls</li><li>Family pantry use</li></ul><h3>Why Customers Choose It</h3><ul><li>Easy serving</li><li>Everyday convenience</li><li>Pantry restocking</li></ul><h3>How to Use</h3><p>Use as a ready pantry item for breakfast bowls, snack portions or family serving.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Check ingredients and portion sizes according to your dietary needs. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Snack Foods",Premium Snacks,"Morganics, Premium Snacks, Sogi Big Kishmish Mewa, سوگی بگ کشمش میوہ",TRUE,Size,200g,SOGI-BG,1099,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_15-sogi-big-mewa.jpg,Sogi Big Kishmish Mewa - سوگی بگ کشمش میوہ | Morganics,Buy Sogi Big Kishmish Mewa Online in Pakistan | Morganics,"Shop Morganics Sogi Big Kishmish Mewa for breakfast, office snacking, lunch bowls and family pantry use. Freshness-led packing, practical usage guidance an",active
sogi-big-kishmish-mewa,,,,,,,,Size,500g,SOGI-BG-500G,2748,shopify,0,deny,manual,TRUE,FALSE,,,,,
pista-maghaz,Pista Maghaz,"<h2>Morganics Pista Maghaz</h2><p>Morganics Pista Maghaz is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Snack directly, add to desserts, breakfast bowls, trail mixes, kheer, halwa or gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Pista Maghaz, پستہ مغز",TRUE,Size,100g,PIS-MAG-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_16-pista-maghaz.jpg,Pista Maghaz - پستہ مغز | Morganics,Buy Pista Maghaz Online in Pakistan | Morganics,"Shop Morganics Pista Maghaz for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usage gui",active
pista-maghaz,,,,,,,,Size,200g,PIS-MAG-250-200G,2598,shopify,0,deny,manual,TRUE,FALSE,,,,,
pista-maghaz,,,,,,,,Size,500g,PIS-MAG-250-500G,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
